Date,Month,DayOfWeek,Day,Platform,Campaign_ID,Impressions,Clicks,Spend,Conversions,Revenue
2024-11-28,11,3,28,Google,DataAnalyticsCourse,4683.0,168.0,215.28,8.0,1327.0
2024-11-03,11,6,3,Google,DataAnalyticsCourse,5814.0,112.0,227.38,8.0,1467.0
2024-11-19,11,1,19,Google,DataAnalyticsCourse,3292.0,123.0,233.2,6.0,1174.0
2024-11-23,11,5,23,Google,Data Anlytics Corse,4305.0,174.0,206.02,3.0,1057.0
2024-11-03,11,6,3,Google,Data Analytics Corse,4368.0,143.0,0.0,7.0,1199.0
2024-11-07,11,3,7,Google,Data Analytcis Course,5935.0,195.0,209.68,9.0,1966.0
2024-11-02,11,5,2,Google,DataAnalyticsCourse,5847.0,176.0,241.04,6.0,1194.0
2024-11-15,11,4,15,Google,Data Anlytics Corse,4851.0,141.0,227.39,5.0,1821.0
2024-11-20,11,2,20,Google,Data Analytics Corse,4710.0,108.0,204.16,10.0,1731.0
2024-11-23,11,5,23,Google,Data Anlytics Corse,3345.0,112.0,0.0,6.0,1859.0
2024-11-20,11,2,20,Google,DataAnalyticsCourse,5903.0,0.0,184.41,9.0,1188.0
2024-11-01,11,4,1,Google,Data Analytcis Course,5004.0,145.0,216.45,5.0,1496.0
2024-11-14,11,3,14,Google,Data Anlytics Corse,3947.0,183.0,197.3,8.0,1645.0
2024-11-28,11,3,28,Google,DataAnalyticsCourse,3690.0,113.0,229.42,5.0,1915.0
2024-11-15,11,4,15,Google,Data Analytcis Course,5943.0,101.0,187.32,6.0,1614.0
2024-11-25,11,0,25,Google,DataAnalyticsCourse,5357.0,189.0,222.5,3.0,1839.0
2024-11-06,11,2,6,Google,Data Anlytics Corse,3596.0,154.0,236.14,9.0,1036.0
2024-11-29,11,4,29,Google,Data Anlytics Corse,5162.0,179.0,246.76,5.0,1052.0
2024-11-17,11,6,17,Google,Data Analytics Corse,3747.0,148.0,244.41,8.0,1092.0
2024-11-04,11,0,4,Google,Data Anlytics Corse,4822.0,177.0,197.03,9.0,1909.0
2024-11-29,11,4,29,Google,Data Analytcis Course,5800.0,119.0,221.36,8.0,0.0
2024-11-15,11,4,15,Google,Data Analytcis Course,3594.0,89.0,0.0,6.0,1026.0
2024-11-28,11,3,28,Google,Data Analytcis Course,4765.0,146.0,230.22,5.0,1944.0
2024-11-30,11,5,30,Google,Data Analytics Corse,4128.0,109.0,183.65,5.0,0.0
2024-11-03,11,6,3,Google,Data Anlytics Corse,5127.0,159.0,197.16,4.0,1867.0
2024-11-22,11,4,22,Google,Data Anlytics Corse,5674.0,144.0,235.36,3.0,1505.0
2024-11-20,11,2,20,Google,Data Anlytics Corse,3793.0,122.0,237.22,8.0,1842.0
2024-11-08,11,4,8,Google,Data Analytics Corse,4315.0,112.0,235.33,9.0,1116.0
2024-11-24,11,6,24,Google,DataAnalyticsCourse,4704.0,174.0,192.32,10.0,1501.0
2024-11-09,11,5,9,Google,Data Analytics Corse,3349.0,168.0,235.6,9.0,1894.0
2024-11-25,11,0,25,Google,DataAnalyticsCourse,3501.0,173.0,223.9,10.0,1179.0
2024-11-20,11,2,20,Google,Data Analytics Corse,0.0,91.0,203.52,9.0,1838.0
2024-11-21,11,3,21,Google,Data Analytcis Course,5405.0,140.0,195.69,8.0,1094.0
2024-11-24,11,6,24,Google,DataAnalyticsCourse,3425.0,93.0,229.76,4.0,1344.0
2024-11-05,11,1,5,Google,Data Analytcis Course,5263.0,114.0,189.13,5.0,1434.0
2024-11-16,11,5,16,Google,Data Anlytics Corse,3889.0,172.0,0.0,10.0,1766.0
2024-11-03,11,6,3,Google,Data Analytcis Course,3327.0,188.0,193.76,6.0,1220.0
2024-11-23,11,5,23,Google,Data Anlytics Corse,0.0,117.0,214.18,4.0,1348.0
2024-11-23,11,5,23,Google,DataAnalyticsCourse,5471.0,113.0,215.57,9.0,1123.0
2024-11-24,11,6,24,Google,Data Analytics Corse,3550.0,109.0,240.33,8.0,1982.0
2024-11-20,11,2,20,Google,Data Anlytics Corse,3178.0,174.0,225.67,10.0,1140.0
2024-11-10,11,6,10,Google,DataAnalyticsCourse,4673.0,96.0,192.88,5.0,1962.0
2024-11-04,11,0,4,Google,Data Analytcis Course,4254.0,110.0,187.87,4.0,1172.0
2024-11-23,11,5,23,Google,Data Anlytics Corse,3658.0,163.0,237.63,7.0,1699.0
2024-11-18,11,0,18,Google,DataAnalyticsCourse,5319.0,161.0,235.98,4.0,1423.0
2024-11-04,11,0,4,Google,DataAnalyticsCourse,5278.0,195.0,193.49,7.0,1456.0
2024-11-05,11,1,5,Google,Data Anlytics Corse,3755.0,84.0,218.88,9.0,1299.0
2024-11-28,11,3,28,Google,Data Anlytics Corse,4580.0,113.0,194.82,6.0,1248.0
2024-11-09,11,5,9,Google,Data Analytics Corse,3809.0,117.0,225.14,5.0,1495.0
2024-11-20,11,2,20,Google,DataAnalyticsCourse,5118.0,135.0,219.99,6.0,1089.0
2024-11-27,11,2,27,Google,Data Anlytics Corse,5766.0,92.0,186.14,7.0,1013.0
2024-11-04,11,0,4,Google,Data Analytcis Course,3934.0,188.0,206.21,9.0,0.0
2024-11-20,11,2,20,Google,Data Analytcis Course,4724.0,101.0,228.38,7.0,1243.0
2024-11-04,11,0,4,Google,Data Anlytics Corse,5895.0,111.0,205.25,4.0,1693.0
2024-11-26,11,1,26,Google,Data Analytics Corse,4048.0,122.0,202.23,10.0,0.0
2024-11-22,11,4,22,Google,Data Analytcis Course,3169.0,99.0,237.68,6.0,1509.0
2024-11-01,11,4,1,Google,DataAnalyticsCourse,4535.0,154.0,229.29,3.0,1434.0
2024-11-11,11,0,11,Google,Data Anlytics Corse,3849.0,129.0,249.29,10.0,1767.0
2024-11-16,11,5,16,Google,Data Analytcis Course,4259.0,0.0,182.98,10.0,1048.0
2024-11-17,11,6,17,Google,DataAnalyticsCourse,3628.0,143.0,0.0,9.0,1566.0
2024-11-23,11,5,23,Google,Data Analytics Corse,3269.0,80.0,0.0,4.0,1753.0
2024-11-07,11,3,7,Google,Data Anlytics Corse,3724.0,134.0,188.02,9.0,1891.0
2024-11-22,11,4,22,Google,Data Anlytics Corse,4838.0,174.0,242.35,3.0,1599.0
2024-11-13,11,2,13,Google,Data Analytics Corse,4524.0,196.0,192.01,8.0,1048.0
2024-11-14,11,3,14,Google,Data Analytics Corse,4694.0,194.0,228.15,7.0,1874.0
2024-11-06,11,2,6,Google,Data Analytics Corse,4326.0,180.0,221.67,0.0,1427.0
2024-11-01,11,4,1,Google,Data Analytcis Course,4235.0,100.0,222.61,8.0,1814.0
2024-11-13,11,2,13,Google,Data Anlytics Corse,4367.0,153.0,184.51,9.0,1507.0
2024-11-05,11,1,5,Google,Data Anlytics Corse,3748.0,110.0,198.68,9.0,1041.0
2024-11-13,11,2,13,Google,Data Analytics Corse,3901.0,116.0,0.0,4.0,1483.0
2024-11-14,11,3,14,Google,Data Analytics Corse,3335.0,156.0,236.98,7.0,1143.0
2024-11-25,11,0,25,Google,Data Analytics Corse,5671.0,177.0,210.74,6.0,1172.0
2024-11-15,11,4,15,Google,DataAnalyticsCourse,3408.0,89.0,214.78,9.0,1898.0
2024-11-15,11,4,15,Google,DataAnalyticsCourse,4422.0,155.0,183.96,8.0,1143.0
2024-11-22,11,4,22,Google,Data Analytcis Course,3097.0,123.0,190.55,8.0,1640.0
2024-11-12,11,1,12,Google,Data Analytics Corse,3621.0,102.0,244.82,5.0,1375.0
2024-11-07,11,3,7,Google,Data Analytics Corse,4806.0,150.0,244.53,9.0,1602.0
2024-11-05,11,1,5,Google,Data Anlytics Corse,0.0,160.0,245.87,6.0,0.0
2024-11-24,11,6,24,Google,Data Anlytics Corse,3901.0,143.0,191.38,4.0,1786.0
2024-11-04,11,0,4,Google,Data Anlytics Corse,4673.0,178.0,222.46,6.0,1219.0
2024-11-13,11,2,13,Google,DataAnalyticsCourse,3542.0,152.0,208.96,9.0,1735.0
2024-11-13,11,2,13,Google,DataAnalyticsCourse,4347.0,139.0,238.19,5.0,1384.0
2024-11-15,11,4,15,Google,Data Analytcis Course,5014.0,175.0,247.24,7.0,1499.0
2024-11-03,11,6,3,Google,Data Analytics Corse,4185.0,92.0,218.46,9.0,1567.0
2024-11-03,11,6,3,Google,DataAnalyticsCourse,5964.0,123.0,0.0,6.0,1363.0
2024-11-20,11,2,20,Google,Data Analytcis Course,5124.0,86.0,183.71,10.0,1137.0
2024-11-22,11,4,22,Google,Data Anlytics Corse,4162.0,117.0,238.08,10.0,1186.0
2024-11-09,11,5,9,Google,Data Analytcis Course,4330.0,146.0,191.9,3.0,1748.0
2024-11-13,11,2,13,Google,Data Analytcis Course,3268.0,89.0,0.0,4.0,1233.0
2024-11-23,11,5,23,Google,DataAnalyticsCourse,3483.0,195.0,213.99,7.0,1796.0
2024-11-27,11,2,27,Google,Data Analytcis Course,4519.0,170.0,240.63,7.0,1012.0
2024-11-10,11,6,10,Google,Data Analytcis Course,3605.0,97.0,240.29,7.0,1682.0
2024-11-17,11,6,17,Google,Data Anlytics Corse,5076.0,159.0,204.97,10.0,1638.0
2024-11-20,11,2,20,Google,Data Anlytics Corse,5352.0,131.0,225.86,10.0,1961.0
2024-11-06,11,2,6,Google,Data Analytics Corse,5503.0,108.0,185.26,7.0,1921.0
2024-11-20,11,2,20,Google,DataAnalyticsCourse,4308.0,93.0,209.83,9.0,1694.0
2024-11-06,11,2,6,Google,Data Analytcis Course,3555.0,137.0,213.5,3.0,0.0
2024-11-28,11,3,28,Google,Data Analytics Corse,5615.0,81.0,193.14,6.0,1255.0
2024-11-20,11,2,20,Google,Data Analytcis Course,4743.0,160.0,206.22,10.0,1825.0
2024-11-30,11,5,30,Google,Data Anlytics Corse,3337.0,186.0,183.58,8.0,1045.0
2024-11-06,11,2,6,Google,Data Analytcis Course,3234.0,105.0,238.8,10.0,1248.0
2024-11-25,11,0,25,Google,Data Analytcis Course,3913.0,131.0,203.69,10.0,1079.0
2024-11-29,11,4,29,Google,Data Analytcis Course,3208.0,129.0,204.2,8.0,1456.0
2024-11-14,11,3,14,Google,Data Anlytics Corse,5972.0,187.0,220.64,7.0,1980.0
2024-11-25,11,0,25,Google,Data Analytics Corse,3662.0,167.0,235.43,7.0,1684.0
2024-11-28,11,3,28,Google,DataAnalyticsCourse,3359.0,140.0,182.13,7.0,1973.0
2024-11-10,11,6,10,Google,Data Analytics Corse,3700.0,198.0,220.67,5.0,1531.0
2024-11-04,11,0,4,Google,Data Anlytics Corse,3835.0,196.0,218.07,9.0,1871.0
2024-11-18,11,0,18,Google,Data Analytics Corse,5638.0,140.0,208.02,5.0,1652.0
2024-11-16,11,5,16,Google,Data Analytics Corse,5825.0,157.0,230.6,3.0,1041.0
2024-11-22,11,4,22,Google,Data Analytics Corse,5428.0,91.0,248.38,3.0,1835.0
2024-11-16,11,5,16,Google,Data Analytcis Course,3571.0,140.0,238.12,9.0,1762.0
2024-11-04,11,0,4,Google,DataAnalyticsCourse,3638.0,154.0,182.17,8.0,1413.0
2024-11-26,11,1,26,Google,Data Anlytics Corse,4505.0,133.0,200.52,3.0,1562.0
2024-11-20,11,2,20,Google,Data Analytcis Course,5016.0,0.0,238.59,9.0,1620.0
2024-11-18,11,0,18,Google,Data Anlytics Corse,3071.0,141.0,208.2,6.0,1647.0
2024-11-15,11,4,15,Google,Data Anlytics Corse,5682.0,135.0,0.0,3.0,1445.0
2024-11-19,11,1,19,Google,Data Analytics Corse,5067.0,199.0,247.38,8.0,1365.0
2024-11-07,11,3,7,Google,Data Analytcis Course,3971.0,138.0,184.87,3.0,1718.0
2024-11-20,11,2,20,Google,Data Analytcis Course,4481.0,175.0,236.38,10.0,1257.0
2024-11-08,11,4,8,Google,Data Anlytics Corse,5476.0,170.0,186.29,4.0,1731.0
2024-11-05,11,1,5,Google,Data Analytcis Course,4426.0,138.0,203.75,10.0,1838.0
2024-11-30,11,5,30,Google,DataAnalyticsCourse,4080.0,108.0,247.8,4.0,1363.0
2024-11-22,11,4,22,Google,Data Anlytics Corse,4113.0,150.0,219.67,7.0,1196.0
2024-11-07,11,3,7,Google,DataAnalyticsCourse,5119.0,90.0,226.58,10.0,1348.0
2024-11-19,11,1,19,Google,Data Analytics Corse,3422.0,98.0,223.55,7.0,1414.0
2024-11-16,11,5,16,Google,Data Analytcis Course,3327.0,130.0,224.83,3.0,1668.0
2024-11-08,11,4,8,Google,Data Analytcis Course,0.0,199.0,199.98,8.0,1467.0
2024-11-10,11,6,10,Google,DataAnalyticsCourse,3241.0,101.0,183.34,0.0,1483.0
2024-11-19,11,1,19,Google,Data Anlytics Corse,3970.0,118.0,0.0,9.0,1036.0
2024-11-11,11,0,11,Google,Data Analytics Corse,5734.0,199.0,247.99,0.0,1455.0
2024-11-21,11,3,21,Google,DataAnalyticsCourse,4001.0,183.0,237.85,4.0,1430.0
2024-11-06,11,2,6,Google,Data Anlytics Corse,4206.0,126.0,233.76,10.0,1998.0
2024-11-28,11,3,28,Google,Data Anlytics Corse,4745.0,199.0,0.0,9.0,1800.0
2024-11-24,11,6,24,Google,DataAnalyticsCourse,4042.0,92.0,200.75,7.0,1234.0
2024-11-12,11,1,12,Google,Data Anlytics Corse,4883.0,0.0,249.61,3.0,1464.0
2024-11-02,11,5,2,Google,DataAnalyticsCourse,3748.0,92.0,208.15,8.0,1297.0
2024-11-23,11,5,23,Google,Data Anlytics Corse,3480.0,135.0,224.94,4.0,1398.0
2024-11-02,11,5,2,Google,DataAnalyticsCourse,3007.0,177.0,223.22,8.0,1766.0
2024-11-19,11,1,19,Google,Data Analytics Corse,3380.0,117.0,186.73,10.0,1958.0
2024-11-15,11,4,15,Google,DataAnalyticsCourse,4823.0,127.0,194.69,10.0,1496.0
2024-11-10,11,6,10,Google,Data Analytcis Course,4490.0,132.0,202.45,7.0,1441.0
2024-11-26,11,1,26,Google,DataAnalyticsCourse,5149.0,102.0,229.48,9.0,1137.0
2024-11-16,11,5,16,Google,Data Anlytics Corse,4290.0,91.0,213.74,10.0,1797.0
2024-11-01,11,4,1,Google,Data Anlytics Corse,5643.0,163.0,217.4,6.0,1678.0
2024-11-14,11,3,14,Google,Data Analytics Corse,3916.0,92.0,188.1,6.0,1005.0
2024-11-06,11,2,6,Google,Data Anlytics Corse,4551.0,165.0,185.35,0.0,1662.0
2024-11-11,11,0,11,Google,Data Analytics Corse,3344.0,127.0,201.7,8.0,1190.0
2024-11-24,11,6,24,Google,Data Analytics Corse,4441.0,178.0,231.97,4.0,1886.0
2024-11-27,11,2,27,Google,Data Anlytics Corse,0.0,101.0,234.17,5.0,1568.0
2024-11-13,11,2,13,Google,Data Anlytics Corse,5977.0,161.0,193.27,0.0,1366.0
2024-11-26,11,1,26,Google,Data Anlytics Corse,4562.0,95.0,187.62,9.0,1239.0
2024-11-02,11,5,2,Google,Data Analytcis Course,5099.0,85.0,232.56,9.0,1526.0
2024-11-21,11,3,21,Google,Data Analytics Corse,5852.0,192.0,181.05,8.0,1600.0
2024-11-13,11,2,13,Google,Data Anlytics Corse,3823.0,80.0,181.57,4.0,1564.0
2024-11-01,11,4,1,Google,DataAnalyticsCourse,4612.0,191.0,238.23,10.0,1531.0
2024-11-18,11,0,18,Google,DataAnalyticsCourse,5881.0,147.0,196.34,7.0,1614.0
2024-11-24,11,6,24,Google,Data Analytics Corse,5204.0,100.0,197.53,4.0,1675.0
2024-11-15,11,4,15,Google,Data Analytcis Course,5130.0,82.0,233.75,9.0,0.0
2024-11-23,11,5,23,Google,DataAnalyticsCourse,5231.0,123.0,202.93,10.0,1551.0
2024-11-06,11,2,6,Google,Data Anlytics Corse,5980.0,165.0,248.41,3.0,1803.0
2024-11-12,11,1,12,Google,DataAnalyticsCourse,3202.0,167.0,214.87,6.0,1571.0
2024-11-30,11,5,30,Google,Data Anlytics Corse,5847.0,111.0,196.71,9.0,1445.0
2024-11-07,11,3,7,Google,Data Analytcis Course,4359.0,94.0,0.0,5.0,1920.0
2024-11-11,11,0,11,Google,Data Analytics Corse,3185.0,179.0,236.74,5.0,1156.0
2024-11-22,11,4,22,Google,DataAnalyticsCourse,5592.0,166.0,183.03,4.0,1636.0
2024-11-19,11,1,19,Google,Data Analytcis Course,5062.0,90.0,191.4,6.0,1775.0
2024-11-02,11,5,2,Google,Data Analytcis Course,5830.0,106.0,241.9,10.0,1897.0
2024-11-06,11,2,6,Google,Data Analytics Corse,4629.0,0.0,236.96,6.0,1183.0
2024-11-24,11,6,24,Google,Data Anlytics Corse,4780.0,158.0,247.2,9.0,1005.0
2024-11-09,11,5,9,Google,Data Analytics Corse,3800.0,187.0,241.0,8.0,1842.0
2024-11-22,11,4,22,Google,Data Anlytics Corse,4096.0,95.0,242.69,9.0,1550.0
2024-11-19,11,1,19,Google,Data Analytcis Course,3562.0,118.0,231.5,3.0,1856.0
2024-11-15,11,4,15,Google,DataAnalyticsCourse,3910.0,166.0,191.32,7.0,0.0
2024-11-14,11,3,14,Google,DataAnalyticsCourse,5411.0,146.0,201.76,7.0,1393.0
2024-11-15,11,4,15,Google,DataAnalyticsCourse,4026.0,101.0,219.68,9.0,1149.0
2024-11-03,11,6,3,Google,Data Anlytics Corse,3716.0,185.0,218.23,7.0,1015.0
2024-11-25,11,0,25,Google,Data Analytcis Course,5162.0,147.0,186.79,7.0,1733.0
2024-11-28,11,3,28,Google,Data Analytcis Course,3859.0,188.0,211.83,9.0,1719.0
2024-11-24,11,6,24,Google,Data Anlytics Corse,3350.0,122.0,225.89,3.0,1509.0
2024-11-05,11,1,5,Google,Data Analytics Corse,5340.0,143.0,0.0,9.0,1223.0
2024-11-11,11,0,11,Google,Data Analytics Corse,3124.0,170.0,234.92,3.0,1232.0
2024-11-17,11,6,17,Google,Data Analytics Corse,5017.0,114.0,242.62,6.0,1303.0
2024-11-26,11,1,26,Google,Data Analytics Corse,3424.0,186.0,201.81,3.0,1337.0
2024-11-05,11,1,5,Google,Data Analytcis Course,4060.0,120.0,210.95,9.0,1376.0
2024-11-17,11,6,17,Google,Data Analytcis Course,5688.0,130.0,212.05,5.0,1454.0
2024-11-09,11,5,9,Google,Data Analytics Corse,5029.0,178.0,189.79,8.0,1510.0
2024-11-26,11,1,26,Google,DataAnalyticsCourse,5476.0,196.0,204.63,4.0,1288.0
2024-11-12,11,1,12,Google,Data Analytcis Course,5000.0,110.0,197.89,3.0,1110.0
2024-11-11,11,0,11,Google,Data Analytcis Course,4141.0,95.0,207.14,3.0,1929.0
2024-11-21,11,3,21,Google,Data Anlytics Corse,4791.0,183.0,232.97,5.0,1476.0
2024-11-25,11,0,25,Google,DataAnalyticsCourse,4168.0,100.0,193.6,3.0,1692.0
2024-11-14,11,3,14,Google,Data Analytcis Course,3741.0,187.0,226.11,10.0,1342.0
2024-11-14,11,3,14,Google,Data Analytcis Course,3577.0,90.0,233.54,5.0,1175.0
2024-11-25,11,0,25,Google,Data Analytics Corse,4469.0,148.0,209.76,8.0,0.0
2024-11-22,11,4,22,Google,Data Analytcis Course,3611.0,129.0,227.82,7.0,1250.0
2024-11-12,11,1,12,Google,Data Analytcis Course,3947.0,120.0,193.49,6.0,1305.0
2024-11-22,11,4,22,Google,Data Analytcis Course,4239.0,82.0,191.75,8.0,1062.0
2024-11-14,11,3,14,Google,Data Analytics Corse,5973.0,145.0,242.16,7.0,1508.0
2024-11-01,11,4,1,Google,Data Analytics Corse,4525.0,190.0,188.85,5.0,1875.0
2024-11-06,11,2,6,Google,Data Anlytics Corse,4395.0,137.0,241.58,4.0,1512.0
2024-11-01,11,4,1,Google,Data Analytics Corse,3047.0,157.0,222.66,3.0,1964.0
